Итерация	Выходные_значения (разделены пробелами)
156	7070.944509780042 7070.944509780042
157	7063.351588380356 7063.351588380356
158	7075.9977522562185 7075.9977522562185
159	7022.192276433196 7022.192276433196
160	7008.295377835046 7008.295377835046
161	7018.183667529278 7018.183667529278
162	7044.176997166041 7044.176997166041
163	6989.118091305928 6989.118091305928
164	7014.494062440814 7014.494062440814
165	6999.273456074263 6999.273456074263
166	7012.976453573484 7012.976453573484
167	7006.851637199916 7006.851637199916
168	6947.380872706725 6947.380872706725
169	6961.71697085948 6961.71697085948
170	6985.1520769339495 6985.1520769339495
171	6938.085713027602 6938.085713027602
172	6977.980538289745 6977.980538289745
173	6939.616407579478 6939.616407579478
174	6925.381971154962 6925.381971154962
175	6893.451552232889 6893.451552232889
176	6876.854321161209 6876.854321161209
177	6902.186099811718 6902.186099811718
178	6879.395512986521 6879.395512986521
179	6875.023029363358 6875.023029363358
180	6874.437106450157 6874.437106450157
181	6893.411539609719 6893.411539609719
182	6863.514050152386 6863.514050152386
183	6847.130106767558 6847.130106767558
184	6845.972841321294 6845.972841321294
185	6848.425167238793 6848.425167238793
186	6844.891541971278 6844.891541971278
187	6849.450520121332 6849.450520121332
188	6831.980185719672 6831.980185719672
189	6811.2499732957185 6811.2499732957185
190	6813.377411195914 6813.377411195914
191	6821.448025238693 6821.448025238693
192	6772.743992578322 6772.743992578322
193	6774.99652342556 6774.99652342556
194	6757.46040154036 6757.46040154036
195	6769.898771806976 6769.898771806976
196	6756.110217272777 6756.110217272777
197	6742.570389281784 6742.570389281784
198	6747.217639450894 6747.217639450894
199	6712.880649183494 6712.880649183494
200	6715.2047607565655 6715.2047607565655
201	6695.310881541245 6695.310881541245
202	6669.738981007777 6669.738981007777
203	6662.764667304756 6662.764667304756
204	6680.412622933147 6680.412622933147
205	6634.604488676521 6634.604488676521
206	6645.790040415435 6645.790040415435
207	6622.014734900453 6622.014734900453
208	6612.718725972829 6612.718725972829
209	6586.506305424888 6586.506305424888
210	6560.228666913987 6560.228666913987
211	6539.366729781579 6539.366729781579
212	6489.995288635745 6489.995288635745
213	6513.777625510635 6513.777625510635
214	6440.990313732844 6440.990313732844
215	6441.600958095128 6441.600958095128
216	6433.903231143358 6433.903231143358
217	6446.462945925155 6446.462945925155
218	6419.590678684439 6419.590678684439
219	6339.304770188697 6339.304770188697
220	6337.41667275063 6337.41667275063
221	6322.354710272286 6322.354710272286
222	6292.3321632268535 6292.3321632268535
223	6291.5904911742455 6291.5904911742455
224	6267.230816560852 6267.230816560852
225	6209.1526638422765 6209.1526638422765
226	6286.120407074376 6286.120407074376
227	6171.228544773224 6171.228544773224
228	6118.716627108221 6118.716627108221
229	6123.3739023709395 6123.3739023709395
230	5988.691745349199 5988.691745349199
231	6038.415899101647 6038.415899101647
232	5994.850015828484 5994.850015828484
233	6006.647172166186 6006.647172166186
234	6064.167052146726 6064.167052146726
235	5957.332264407407 5957.332264407407
236	5994.380965875389 5994.380965875389
237	5931.129280307785 5931.129280307785
238	5921.42113968909 5921.42113968909
239	5873.269172818167 5873.269172818167
240	5893.782555353099 5893.782555353099
241	5850.469737932222 5850.469737932222
242	5917.035765626339 5917.035765626339
243	5819.542839572967 5819.542839572967
244	5853.617771910143 5853.617771910143
245	5877.547347388939 5877.547347388939
246	5869.761524687528 5869.761524687528
247	5845.396859444247 5845.396859444247
248	5812.990168354481 5812.990168354481
249	5804.474470592164 5804.474470592164
250	5849.346838640216 5849.346838640216
251	5891.602204681376 5891.602204681376
252	5841.762168705023 5841.762168705023
253	5852.426027915408 5852.426027915408
254	5807.034352140798 5807.034352140798
255	5800.7853387317155 5800.7853387317155
256	5793.757349007697 5793.757349007697
257	5743.903869531714 5743.903869531714
258	5760.196560376102 5760.196560376102
259	5684.517725477708 5684.517725477708
260	5694.936636238486 5694.936636238486
261	5703.115986050956 5703.115986050956
262	5682.369598078789 5682.369598078789
263	5706.6368191663205 5706.6368191663205
264	5657.569770734645 5657.569770734645
265	5623.785718455864 5623.785718455864
266	5665.801124001921 5665.801124001921
267	5560.041887331516 5560.041887331516
268	5569.082357649333 5569.082357649333
269	5545.755793231574 5545.755793231574
270	5519.252896156328 5519.252896156328
271	5571.630477053228 5571.630477053228
272	5565.379519465263 5565.379519465263
273	5519.051651299099 5519.051651299099
274	5527.615132159004 5527.615132159004
275	5495.551930456488 5495.551930456488
276	5517.134431465926 5517.134431465926
277	5492.137159519756 5492.137159519756
278	5477.717327746534 5477.717327746534
279	5472.596296266262 5472.596296266262
280	5434.407709785621 5434.407709785621
281	5310.431199311373 5310.431199311373
282	5266.7534390826 5266.7534390826
283	5253.470719027602 5253.470719027602
284	5151.212812501102 5151.212812501102
285	5185.636204487622 5185.636204487622
286	5097.3155702891345 5097.3155702891345
287	5195.881571805924 5195.881571805924
288	5130.667767595388 5130.667767595388
289	5105.525785980482 5105.525785980482
290	5096.169645751751 5096.169645751751
291	5104.028879669499 5104.028879669499
292	5111.860138944498 5111.860138944498
293	5088.218734027556 5088.218734027556
294	5054.888925317797 5054.888925317797
295	4963.104068176477 4963.104068176477
296	5061.750802940287 5061.750802940287
297	4959.17026078666 4959.17026078666
298	4898.952445951531 4898.952445951531
299	4846.789027622763 4846.789027622763
300	4721.669020006026 4721.669020006026
301	4795.121350051474 4795.121350051474
302	4719.757567035782 4719.757567035782
303	4654.04820739329 4654.04820739329
304	4735.457627272476 4735.457627272476
305	4730.3167261542185 4730.3167261542185
306	4652.691459104203 4652.691459104203
307	4691.873859177595 4691.873859177595
308	4648.703989461556 4648.703989461556
