Итерация	Выходные_значения (разделены пробелами)
763	334.1938038240669 334.1938038240669
764	333.07428738571855 333.07428738571855
765	331.2535828566347 331.2535828566347
766	331.0569231477142 331.0569231477142
767	329.08265430174856 329.08265430174856
768	329.138191034491 329.138191034491
769	331.05458699811686 331.05458699811686
770	328.3580801376068 328.3580801376068
771	327.7242480489252 327.7242480489252
772	329.39033250190107 329.39033250190107
773	326.5665635498991 326.5665635498991
774	323.49908761310496 323.49908761310496
775	322.1220856871096 322.1220856871096
776	321.6617746538727 321.6617746538727
777	321.13301374347907 321.13301374347907
778	323.74763483487567 323.74763483487567
779	325.4884689559492 325.4884689559492
780	318.7793726605787 318.7793726605787
781	316.3540481309667 316.3540481309667
782	318.7156867744202 318.7156867744202
783	306.6299322237946 306.6299322237946
784	306.6221117460726 306.6221117460726
785	311.96570550227506 311.96570550227506
786	305.109869778782 305.109869778782
787	302.77635814313373 302.77635814313373
788	304.75700846159816 304.75700846159816
789	304.0888995028957 304.0888995028957
790	298.6488919419155 298.6488919419155
791	298.2351019009498 298.2351019009498
792	300.3566286249596 300.3566286249596
793	301.783797753563 301.783797753563
794	304.7104564760905 304.7104564760905
795	303.00946866554983 303.00946866554983
796	299.8794884962972 299.8794884962972
797	292.3652608627217 292.3652608627217
798	292.2166354164214 292.2166354164214
799	291.5429410874174 291.5429410874174
800	289.44086891920676 289.44086891920676
801	290.8367551500463 290.8367551500463
802	288.72850948859247 288.72850948859247
803	284.4679008007746 284.4679008007746
804	290.2998098427976 290.2998098427976
805	284.4741440613016 284.4741440613016
806	282.74596864590717 282.74596864590717
807	281.24011678898785 281.24011678898785
808	277.06467101194363 277.06467101194363
809	275.0650146317076 275.0650146317076
810	280.3461380100376 280.3461380100376
811	275.37541870974616 275.37541870974616
812	272.6470861940618 272.6470861940618
813	276.1536438214 276.1536438214
814	276.5109075853668 276.5109075853668
815	274.38726030644654 274.38726030644654
816	271.5478255929618 271.5478255929618
817	270.80489259852686 270.80489259852686
818	269.9990047489754 269.9990047489754
819	273.90235449921295 273.90235449921295
820	268.8681288676159 268.8681288676159
821	262.8519210875091 262.8519210875091
822	257.29876989652126 257.29876989652126
823	258.3886891714322 258.3886891714322
824	261.4535449892419 261.4535449892419
825	262.10602727788756 262.10602727788756
826	260.3415825203052 260.3415825203052
827	255.4848274609446 255.4848274609446
828	247.46681380640717 247.46681380640717
829	242.19158566024498 242.19158566024498
830	242.4376014559137 242.4376014559137
831	238.696505199782 238.696505199782
832	241.93196827103517 241.93196827103517
833	239.65844173722996 239.65844173722996
834	237.33267716429643 237.33267716429643
835	237.6667899640123 237.6667899640123
836	239.4929645628099 239.4929645628099
837	238.27316714788233 238.27316714788233
838	236.82558678490318 236.82558678490318
839	231.679103817208 231.679103817208
840	230.61720543766666 230.61720543766666
841	228.68660278971774 228.68660278971774
842	231.07150555576254 231.07150555576254
843	227.72755296331533 227.72755296331533
844	228.1279586410103 228.1279586410103
845	222.01986897250634 222.01986897250634
846	223.4799342914265 223.4799342914265
847	224.7994981539059 224.7994981539059
848	223.01340811461117 223.01340811461117
849	218.9796309989125 218.9796309989125
850	218.7026064779215 218.7026064779215
851	219.4056621328802 219.4056621328802
852	217.53314394246195 217.53314394246195
853	220.90110424808657 220.90110424808657
854	221.08539865638082 221.08539865638082
855	216.053359350974 216.053359350974
856	218.0140443436319 218.0140443436319
857	216.08128419837067 216.08128419837067
858	215.00949929511233 215.00949929511233
859	217.9048185549113 217.9048185549113
860	217.8638605238677 217.8638605238677
861	214.18327191127108 214.18327191127108
862	217.0617723100996 217.0617723100996
863	212.70489358597672 212.70489358597672
864	212.83065135810295 212.83065135810295
865	214.93260079942695 214.93260079942695
866	213.386470830104 213.386470830104
867	215.63281899169857 215.63281899169857
868	214.19535799048998 214.19535799048998
869	212.73876920005725 212.73876920005725
870	213.9246810440692 213.9246810440692
871	213.40496571311928 213.40496571311928
872	213.0636806931427 213.0636806931427
873	212.68089173016517 212.68089173016517
874	212.8578595082218 212.8578595082218
875	213.90818214274316 213.90818214274316
876	211.22012701609262 211.22012701609262
877	211.02839472090247 211.02839472090247
878	210.99813066159442 210.99813066159442
879	210.10729232311013 210.10729232311013
880	209.5422326367975 209.5422326367975
881	212.07081529892898 212.07081529892898
882	212.40160735030702 212.40160735030702
883	209.46232664108476 209.46232664108476
884	208.22561011678928 208.22561011678928
885	210.4740765854542 210.4740765854542
886	207.62915146283123 207.62915146283123
887	207.4264010583315 207.4264010583315
888	206.75952794130902 206.75952794130902
889	207.79802473966313 207.79802473966313
890	206.2517815352026 206.2517815352026
891	207.87522714138402 207.87522714138402
892	205.26322759312444 205.26322759312444
893	204.49283133073817 204.49283133073817
894	203.23419925989612 203.23419925989612
895	204.1196810558929 204.1196810558929
896	200.94175198211232 200.94175198211232
897	198.57642827065467 198.57642827065467
898	200.17867535491666 200.17867535491666
899	196.82653518228165 196.82653518228165
900	194.75226282153636 194.75226282153636
901	194.9621307236278 194.9621307236278
902	193.67734625038236 193.67734625038236
903	193.83724748526402 193.83724748526402
904	196.59937584491126 196.59937584491126
905	192.06742436532176 192.06742436532176
906	190.59587336203143 190.59587336203143
907	192.84320165497837 192.84320165497837
908	190.4367637014111 190.4367637014111
909	192.96896119895024 192.96896119895024
910	189.37940936180422 189.37940936180422
911	188.00190246487907 188.00190246487907
912	184.6854292777059 184.6854292777059
913	183.1499474179279 183.1499474179279
914	182.42757067015376 182.42757067015376
915	183.99401670667788 183.99401670667788
916	179.91975873815863 179.91975873815863
917	176.89280843913338 176.89280843913338
918	176.36251786779914 176.36251786779914
919	176.61733033063746 176.61733033063746
920	179.17530892557772 179.17530892557772
921	178.88645720263366 178.88645720263366
922	179.9340324448705 179.9340324448705
923	177.5608951203941 177.5608951203941
924	177.7862575670169 177.7862575670169
925	174.50976972524109 174.50976972524109
926	174.06618826201242 174.06618826201242
927	177.98807029226927 177.98807029226927
928	171.22313818086315 171.22313818086315
929	174.32988440997545 174.32988440997545
930	173.52210455953895 173.52210455953895
931	173.4843093430527 173.4843093430527
932	170.65138271261867 170.65138271261867
933	172.80495530317424 172.80495530317424
934	170.3308927627898 170.3308927627898
935	171.18142741535388 171.18142741535388
936	170.48423300214785 170.48423300214785
937	170.68324277423758 170.68324277423758
938	171.27600723238027 171.27600723238027
939	171.62404294085087 171.62404294085087
940	169.62017693746154 169.62017693746154
941	169.80050931673793 169.80050931673793
942	169.54903557013876 169.54903557013876
943	168.95987273485719 168.95987273485719
944	168.70962356015758 168.70962356015758
945	169.83435493638711 169.83435493638711
946	168.92363838000585 168.92363838000585
947	168.07447137649424 168.07447137649424
948	168.05666016908322 168.05666016908322
949	169.31733776778108 169.31733776778108
950	167.76828084486664 167.76828084486664
951	167.46521269264446 167.46521269264446
952	165.89290899665656 165.89290899665656
953	168.59248390267126 168.59248390267126
954	163.50992331823494 163.50992331823494
955	162.23654630956648 162.23654630956648
956	162.83899707839993 162.83899707839993
957	159.6230218053354 159.6230218053354
958	159.27756156743297 159.27756156743297
959	158.15360069881365 158.15360069881365
960	156.59718913224245 156.59718913224245
961	160.08602427900155 160.08602427900155
962	155.96507984472427 155.96507984472427
963	154.68901951673035 154.68901951673035
964	157.10374525486486 157.10374525486486
965	151.00621221411254 151.00621221411254
966	148.68482550459137 148.68482550459137
967	148.39593818483544 148.39593818483544
968	147.8940239745782 147.8940239745782
969	146.60872330045913 146.60872330045913
970	147.46166608055975 147.46166608055975
971	147.15839076477408 147.15839076477408
972	146.87601317027324 146.87601317027324
973	146.54365091366836 146.54365091366836
974	144.74336980787777 144.74336980787777
975	139.75204519706378 139.75204519706378
976	139.03825627042173 139.03825627042173
977	135.07267797661004 135.07267797661004
978	136.76729313077576 136.76729313077576
979	136.32366085851265 136.32366085851265
980	132.36420768507116 132.36420768507116
981	131.85016910080844 131.85016910080844
982	133.55718244898716 133.55718244898716
983	133.3499031981074 133.3499031981074
984	135.8824111264462 135.8824111264462
985	131.6566163852683 131.6566163852683
986	134.41343573301916 134.41343573301916
987	130.5291602661459 130.5291602661459
988	134.57211602907577 134.57211602907577
989	133.869193181768 133.869193181768
990	129.72420692588815 129.72420692588815
991	132.41097484290577 132.41097484290577
992	132.1824607022339 132.1824607022339
993	130.12849429573302 130.12849429573302
994	129.5721481468724 129.5721481468724
995	129.46178853895879 129.46178853895879
996	132.07265390876597 132.07265390876597
997	125.30052483966097 125.30052483966097
998	127.47962013857483 127.47962013857483
999	126.34121685736581 126.34121685736581
1000	125.30052483966097 125.30052483966097
1001	118.33050176274102 118.33050176274102
1002	125.36125455203589 125.36125455203589
1003	114.63297529617927 114.63297529617927
1004	125.6786913356699 125.6786913356699
1005	110.19914789535395 110.19914789535395
1006	121.09760761578553 121.09760761578553
1007	100.01184868896543 100.01184868896543
1008	104.09943595224357 104.09943595224357
1009	101.7238981751791 101.7238981751791
1010	102.12662407157364 102.12662407157364
1011	93.20464355749746 93.20464355749746
1012	81.63982354184023 81.63982354184023
1013	83.43122412996013 83.43122412996013
1014	94.54878707557812 94.54878707557812
1015	96.15667291669087 96.15667291669087
1016	100.92931402454661 100.92931402454661
1017	97.65281643146545 97.65281643146545
1018	100.19214525110154 100.19214525110154
1019	100.44641469691614 100.44641469691614
1020	98.20982240861926 98.20982240861926
1021	104.98238508364639 104.98238508364639
1022	88.53126004408035 88.53126004408035
1023	87.85449461738993 87.85449461738993
1024	89.18372793746812 89.18372793746812
1025	87.26085241464295 87.26085241464295
1026	94.83622852944814 94.83622852944814
1027	85.35835662047143 85.35835662047143
1028	90.29523469509391 90.29523469509391
1029	87.30245859161346 87.30245859161346
1030	105.44106485679407 105.44106485679407
1031	85.26046402008734 85.26046402008734
1032	91.92078341871184 91.92078341871184
1033	88.70875052918895 88.70875052918895
1034	87.40155829755854 87.40155829755854
1035	91.35767815958422 91.35767815958422
1036	115.57188115707316 115.57188115707316
1037	109.99094895985651 109.99094895985651
1038	120.94528534237169 120.94528534237169
1039	101.4958202366793 101.4958202366793
1040	110.66595783949876 110.66595783949876
1041	88.60884137141733 88.60884137141733
1042	86.702860515447 86.702860515447
1043	80.96426226693707 80.96426226693707
1044	68.06467004464831 68.06467004464831
1045	80.71859083177816 80.71859083177816
1046	92.31234010444072 92.31234010444072
1047	70.76977778059477 70.76977778059477
1048	105.52657514881449 105.52657514881449
1049	81.39364771179993 81.39364771179993
1050	67.02958169675344 67.02958169675344
1051	84.24889351481526 84.24889351481526
1052	79.447830739364 79.447830739364
1053	110.52971977945182 110.52971977945182
1054	72.83091972359429 72.83091972359429
1055	65.45492038529424 65.45492038529424
1056	53.68054343578682 53.68054343578682
1057	68.35226493695609 68.35226493695609
1058	56.823307416661564 56.823307416661564
1059	87.57584902306323 87.57584902306323
1060	52.66632578541659 52.66632578541659
1061	34.83660192544663 34.83660192544663
1062	14.79801076490603 14.79801076490603
1063	14.087594746204251 14.087594746204251
1064	8.87457069740629 8.87457069740629
1065	24.083539951224093 24.083539951224093
1066	14.421248643102249 14.421248643102249
1067	39.98487253948555 39.98487253948555
1068	5.348968362347986 5.348968362347986
1069	6.727369980557788 6.727369980557788
1070	4.443488924977293 4.443488924977293
1071	21.492857177369842 21.492857177369842
1072	50.271144479069186 50.271144479069186
1073	4.1534863577744225 4.1534863577744225
1074	18.170557184889667 18.170557184889667
1075	119.54196388895132 119.54196388895132
1076	44.292255492217876 44.292255492217876
1077	23.74490452533726 23.74490452533726
1078	49.891852508220666 49.891852508220666
1079	69.98354992468866 69.98354992468866
1080	21.27654020093491 21.27654020093491
1081	45.28488906055923 45.28488906055923
1082	73.53454783412293 73.53454783412293
1083	21.051180501344763 21.051180501344763
1084	95.13683556778503 95.13683556778503
1085	65.138061329783 65.138061329783
1086	107.24538525058979 107.24538525058979
1087	64.57116498740018 64.57116498740018
1088	14.915311594360393 14.915311594360393
1089	27.939899797643637 27.939899797643637
1090	31.189046734189397 31.189046734189397
1091	74.95973916695365 74.95973916695365
1092	19.74701424159408 19.74701424159408
1093	29.647606573942245 29.647606573942245
1094	23.961841447898642 23.961841447898642
1095	112.3370713672782 112.3370713672782
1096	81.19331972652405 81.19331972652405
1097	102.86905785092671 102.86905785092671
1098	7.710667742646499 7.710667742646499
1099	7.539626024600723 7.539626024600723
1100	38.19890423059051 38.19890423059051
1101	22.714450813549053 22.714450813549053
1102	55.68078654608789 55.68078654608789
1103	16.426396500149934 16.426396500149934
1104	38.88763014112716 38.88763014112716
1105	20.743039692080377 20.743039692080377
1106	18.08299841655107 18.08299841655107
1107	19.584169480447677 19.584169480447677
1108	31.084221509448827 31.084221509448827
1109	50.71160158698035 50.71160158698035
1110	32.170489569081624 32.170489569081624
1111	28.79466857390999 28.79466857390999
1112	40.770451931302055 40.770451931302055
1113	5.315357530201754 5.315357530201754
1114	2.431370510712112 2.431370510712112
1115	50.6377313160845 50.6377313160845
1116	18.47854812310827 18.47854812310827
1117	25.1959545598345 25.1959545598345
1118	17.519443615272735 17.519443615272735
1119	23.48243277760572 23.48243277760572
1120	53.92269139782304 53.92269139782304
1121	81.46771314140558 81.46771314140558
1122	80.57477582611384 80.57477582611384
1123	72.37857023764634 72.37857023764634
1124	64.23383292793804 64.23383292793804
1125	52.23316808709673 52.23316808709673
1126	35.830963367849975 35.830963367849975
1127	40.14497423762731 40.14497423762731
1128	140.48482031175212 140.48482031175212
1129	30.551384482563854 30.551384482563854
1130	59.2544328651046 59.2544328651046
1131	55.23860049319376 55.23860049319376
1132	69.92102846777473 69.92102846777473
1133	25.04432863710201 25.04432863710201
1134	80.29106663314559 80.29106663314559
1135	24.09839669121816 24.09839669121816
1136	9.517273751459573 9.517273751459573
1137	16.38618828949849 16.38618828949849
1138	2.694611371469768 2.694611371469768
1139	5.544149872464551 5.544149872464551
1140	12.37018025816536 12.37018025816536
1141	75.85391184362564 75.85391184362564
1142	13.34660379065933 13.34660379065933
1143	13.618295696054792 13.618295696054792
1144	31.12494744342773 31.12494744342773
1145	67.33881238215787 67.33881238215787
1146	3.430148983658283 3.430148983658283
1147	8.80500737673292 8.80500737673292
1148	22.681781514699416 22.681781514699416
1149	51.05338702158096 51.05338702158096
1150	16.530691666993466 16.530691666993466
1151	46.620546411840955 46.620546411840955
1152	8.495876897864267 8.495876897864267
1153	72.34902245404007 72.34902245404007
1154	12.591847615611226 12.591847615611226
1155	66.49664685284905 66.49664685284905
1156	13.447077867711835 13.447077867711835
1157	50.68887999727142 50.68887999727142
1158	49.057260610831456 49.057260610831456
1159	15.731569236387653 15.731569236387653
1160	129.87245764166875 129.87245764166875
1161	59.81801165014551 59.81801165014551
1162	54.785685350139566 54.785685350139566
1163	71.10358140829436 71.10358140829436
1164	4.0298400809751564 4.0298400809751564
1165	12.961874662350393 12.961874662350393
1166	5.233701435306314 5.233701435306314
1167	25.230358327639365 25.230358327639365
1168	39.37084679975568 39.37084679975568
1169	6.495983892094763 6.495983892094763
1170	5.771137883620823 5.771137883620823
1171	9.376860192808232 9.376860192808232
1172	28.94025123738681 28.94025123738681
1173	16.362475464635722 16.362475464635722
1174	6.528410732156853 6.528410732156853
1175	3.591846440562391 3.591846440562391
1176	13.030136561347133 13.030136561347133
1177	29.037725793863466 29.037725793863466
1178	52.90313367994062 52.90313367994062
1179	22.94068361491905 22.94068361491905
1180	120.99437055918392 120.99437055918392
1181	1.9775334950294647 1.9775334950294647
1182	12.010656422660642 12.010656422660642
1183	9.653489904382004 9.653489904382004
1184	49.840737964211705 49.840737964211705
1185	21.892027355374136 21.892027355374136
1186	12.239733841963531 12.239733841963531
1187	21.266717648346713 21.266717648346713
1188	71.27198318277706 71.27198318277706
1189	23.952098744823175 23.952098744823175
1190	23.065686129088945 23.065686129088945
1191	9.561920752716206 9.561920752716206
1192	38.1494995682439 38.1494995682439
1193	58.95633135355156 58.95633135355156
1194	13.393066173245993 13.393066173245993
1195	80.76282084434676 80.76282084434676
1196	5.751632954404192 5.751632954404192
1197	4.307380350194947 4.307380350194947
1198	11.230849505500682 11.230849505500682
1199	37.40984997919819 37.40984997919819
1200	36.825222298396675 36.825222298396675
1201	10.954639224250597 10.954639224250597
1202	49.808100910894154 49.808100910894154
1203	31.94131622844713 31.94131622844713
1204	5.315031143052815 5.315031143052815
1205	15.589627217372884 15.589627217372884
1206	26.307251081158487 26.307251081158487
1207	23.636579677991996 23.636579677991996
1208	37.00409686084579 37.00409686084579
1209	33.86630787865482 33.86630787865482
1210	38.30179682075523 38.30179682075523
1211	33.18512858544745 33.18512858544745
1212	53.86052032783307 53.86052032783307
1213	25.997660835521724 25.997660835521724
1214	37.61988357702245 37.61988357702245
1215	35.397496463817326 35.397496463817326
1216	63.79934538325317 63.79934538325317
1217	11.43106694524295 11.43106694524295
1218	19.319766303662494 19.319766303662494
1219	12.832904096213149 12.832904096213149
1220	32.87333317647827 32.87333317647827
1221	20.311485377664198 20.311485377664198
1222	28.59335799493364 28.59335799493364
1223	20.845361663334334 20.845361663334334
1224	12.010285848592131 12.010285848592131
1225	8.595096252122563 8.595096252122563
1226	7.235681264113549 7.235681264113549
1227	6.569300182410332 6.569300182410332
1228	23.86638875852625 23.86638875852625
1229	4.7068522518196465 4.7068522518196465
1230	1.254468232815091 1.254468232815091
1231	1.5411394680853432 1.5411394680853432
1232	3.109467109496439 3.109467109496439
1233	5.417006314465098 5.417006314465098
1234	11.20922630058137 11.20922630058137
1235	43.840232810280796 43.840232810280796
1236	22.044673331560556 22.044673331560556
1237	7.228928044773604 7.228928044773604
1238	4.2812376898904 4.2812376898904
1239	15.116944012455711 15.116944012455711
1240	6.550427950598217 6.550427950598217
1241	4.296712190132066 4.296712190132066
1242	33.94063461367377 33.94063461367377
1243	18.784546653746922 18.784546653746922
1244	23.489796010720266 23.489796010720266
1245	2.776039589056283 2.776039589056283
1246	7.842940899652479 7.842940899652479
1247	5.3003168637956355 5.3003168637956355
1248	5.83928273233386 5.83928273233386
1249	33.25395463827729 33.25395463827729
1250	7.589933711330971 7.589933711330971
1251	7.798688110439989 7.798688110439989
1252	13.141381760959426 13.141381760959426
1253	18.675762915474355 18.675762915474355
1254	69.21282979049127 69.21282979049127
1255	33.70400555665375 33.70400555665375
1256	27.29940445920755 27.29940445920755
1257	18.88097720222028 18.88097720222028
1258	22.832830231899923 22.832830231899923
1259	12.55313290927002 12.55313290927002
1260	8.970507452693326 8.970507452693326
1261	9.360882729674458 9.360882729674458
1262	27.180431100855937 27.180431100855937
1263	10.00192480218143 10.00192480218143
1264	23.23607303899402 23.23607303899402
1265	10.08359844314532 10.08359844314532
1266	1.5720710498893724 1.5720710498893724
1267	39.083264133453625 39.083264133453625
1268	10.31702071047591 10.31702071047591
1269	12.098330382720743 12.098330382720743
1270	7.5360039690196885 7.5360039690196885
1271	4.383709010249861 4.383709010249861
1272	9.638584149167148 9.638584149167148
1273	4.312327975995991 4.312327975995991
1274	1.0894051035638903 1.0894051035638903
1275	9.479853286209504 9.479853286209504
1276	10.368490847188381 10.368490847188381
1277	14.986218090760719 14.986218090760719
1278	1.7199738228128405 1.7199738228128405
1279	5.977740672325478 5.977740672325478
1280	3.9294081137547168 3.9294081137547168
1281	5.957916473082196 5.957916473082196
1282	2.4228514019756 2.4228514019756
1283	3.5113406434044325 3.5113406434044325
1284	0.29634337345265566 0.29634337345265566
1285	2.6367901996181615 2.6367901996181615
1286	1.612194431899239 1.612194431899239
1287	2.4915220493473544 2.4915220493473544
1288	1.4998916433328813 1.4998916433328813
1289	8.027301124801422 8.027301124801422
1290	0.418131478021008 0.418131478021008
1291	1.050355185356665 1.050355185356665
1292	1.1736711051226578 1.1736711051226578
1293	0.536650004906671 0.536650004906671
1294	3.5622654663241993 3.5622654663241993
1295	2.617116895095855 2.617116895095855
1296	2.7961629889047694 2.7961629889047694
1297	2.882802617532557 2.882802617532557
1298	1.23311338400672 1.23311338400672
1299	2.43315958010291 2.43315958010291
1300	2.085879701107409 2.085879701107409
1301	1.7304849394158643 1.7304849394158643
1302	2.8258361506771292 2.8258361506771292
1303	2.613590512374268 2.613590512374268
1304	10.79161688785548 10.79161688785548
1305	9.451118612574941 9.451118612574941
1306	5.322472726172594 5.322472726172594
1307	4.283375828378741 4.283375828378741
1308	5.7680648010603655 5.7680648010603655
1309	6.174579169571663 6.174579169571663
1310	4.549990480980516 4.549990480980516
1311	7.754193181860355 7.754193181860355
1312	6.416566619990334 6.416566619990334
1313	3.470853905428318 3.470853905428318
1314	5.7855374982788454 5.7855374982788454
1315	4.484246540518102 4.484246540518102
1316	5.890091701189818 5.890091701189818
1317	5.282670620967904 5.282670620967904
1318	4.232630937829635 4.232630937829635
1319	11.118263017492852 11.118263017492852
1320	7.254140662599506 7.254140662599506
1321	8.866292343505988 8.866292343505988
1322	15.105077406147782 15.105077406147782
1323	16.410730775612997 16.410730775612997
1324	15.433993410044645 15.433993410044645
1325	6.505110505548439 6.505110505548439
1326	3.4481236231033696 3.4481236231033696
1327	12.0150107268671 12.0150107268671
1328	2.223983404666435 2.223983404666435
1329	2.1086160109866743 2.1086160109866743
1330	2.2240012199746184 2.2240012199746184
1331	5.201480647177383 5.201480647177383
1332	5.0747681356384104 5.0747681356384104
1333	2.645500365864393 2.645500365864393
1334	3.1419895130561835 3.1419895130561835
1335	5.177327032145216 5.177327032145216
1336	3.6984062115977503 3.6984062115977503
1337	3.7565561967018075 3.7565561967018075
1338	4.19483161602021 4.19483161602021
1339	7.0418775056257665 7.0418775056257665
1340	4.978247342448473 4.978247342448473
1341	2.024668374196212 2.024668374196212
1342	5.529617839490326 5.529617839490326
1343	5.893926779095803 5.893926779095803
1344	7.9316480905647895 7.9316480905647895
1345	4.248053462076161 4.248053462076161
1346	7.24086045229405 7.24086045229405
1347	10.815971384093842 10.815971384093842
1348	1.2499067834185238 1.2499067834185238
1349	4.894751742697066 4.894751742697066
1350	4.657288245100385 4.657288245100385
1351	1.8884629906836878 1.8884629906836878
1352	2.043133953243739 2.043133953243739
1353	0.7139379692683102 0.7139379692683102
1354	3.3852333561653265 3.3852333561653265
1355	0.6720256439171894 0.6720256439171894
1356	0.7153401018149284 0.7153401018149284
1357	2.8418528502184164 2.8418528502184164
1358	1.7887008955480526 1.7887008955480526
1359	2.680614866878166 2.680614866878166
1360	2.495105093403283 2.495105093403283
1361	10.965300301679532 10.965300301679532
1362	12.471639916277972 12.471639916277972
1363	11.304715911149604 11.304715911149604
1364	3.428615074589182 3.428615074589182
1365	4.539191031007604 4.539191031007604
1366	8.198183952769408 8.198183952769408
1367	4.45897080917625 4.45897080917625
1368	5.776495866215404 5.776495866215404
1369	3.912683798056535 3.912683798056535
1370	3.561706741028156 3.561706741028156
1371	5.810055609574982 5.810055609574982
1372	5.531438427584277 5.531438427584277
1373	6.276979157411837 6.276979157411837
1374	5.579834545596577 5.579834545596577
1375	4.182090967756394 4.182090967756394
1376	4.305089375418971 4.305089375418971
1377	9.095059606533525 9.095059606533525
1378	4.265815611354721 4.265815611354721
1379	3.396613926243327 3.396613926243327
1380	2.227638349645882 2.227638349645882
1381	2.856143565534677 2.856143565534677
1382	8.005620203566476 8.005620203566476
1383	6.630821812738936 6.630821812738936
1384	3.057370725962618 3.057370725962618
1385	3.379678784494196 3.379678784494196
1386	3.4229897861391945 3.4229897861391945
1387	4.9560275753406815 4.9560275753406815
1388	2.9546124394073585 2.9546124394073585
1389	6.128930961608259 6.128930961608259
1390	6.490753759802515 6.490753759802515
1391	4.3135326949646435 4.3135326949646435
1392	3.771022860562894 3.771022860562894
1393	20.36142410068023 20.36142410068023
1394	7.564916361028628 7.564916361028628
1395	10.16724420225036 10.16724420225036
1396	11.271833859665835 11.271833859665835
1397	4.0045418738567715 4.0045418738567715
1398	5.347194921139582 5.347194921139582
1399	10.643117421412303 10.643117421412303
1400	3.2867634654050555 3.2867634654050555
1401	9.256728337836833 9.256728337836833
1402	6.684264161564476 6.684264161564476
1403	3.587861925966648 3.587861925966648
1404	3.5563811539321257 3.5563811539321257
1405	2.699801952523292 2.699801952523292
1406	18.96089162137246 18.96089162137246
1407	3.8448093650472432 3.8448093650472432
1408	3.8800220640412615 3.8800220640412615
1409	4.6532174132687505 4.6532174132687505
1410	1.185189742516491 1.185189742516491
1411	4.7909219465115225 4.7909219465115225
1412	16.39389201391656 16.39389201391656
1413	1.7184163269469792 1.7184163269469792
1414	6.1887704099990355 6.1887704099990355
1415	1.2009125815074737 1.2009125815074737
1416	3.3819663451522053 3.3819663451522053
1417	2.6350169888731925 2.6350169888731925
1418	1.0824097733576488 1.0824097733576488
1419	4.8844466090048915 4.8844466090048915
1420	1.2467638588841052 1.2467638588841052
1421	3.202907607214363 3.202907607214363
1422	1.1724834749332262 1.1724834749332262
1423	4.005070576375369 4.005070576375369
1424	2.214641601763063 2.214641601763063
1425	1.8314125415909963 1.8314125415909963
1426	3.3652763002352 3.3652763002352
1427	1.3447040661070566 1.3447040661070566
1428	3.149603334002605 3.149603334002605
1429	1.2084401248565535 1.2084401248565535
1430	5.082708056315111 5.082708056315111
1431	0.5017780084421513 0.5017780084421513
1432	2.6815686222627417 2.6815686222627417
1433	0.33445533964428986 0.33445533964428986
1434	4.773467498555018 4.773467498555018
1435	1.5742862584455573 1.5742862584455573
1436	1.551495679574126 1.551495679574126
1437	0.9994571701511201 0.9994571701511201
1438	1.9938287026456336 1.9938287026456336
1439	2.3361985118335866 2.3361985118335866
1440	3.6674100673414642 3.6674100673414642
1441	1.3488935854881636 1.3488935854881636
1442	2.1023904766972557 2.1023904766972557
1443	1.7694977412050383 1.7694977412050383
1444	1.3051588779270769 1.3051588779270769
1445	2.0616585084988 2.0616585084988
1446	3.7645210193061174 3.7645210193061174
1447	4.680009192764096 4.680009192764096
1448	1.6860442476119355 1.6860442476119355
1449	3.634911572647191 3.634911572647191
1450	2.605793109332035 2.605793109332035
1451	1.9004186953058426 1.9004186953058426
1452	1.8192276758191053 1.8192276758191053
1453	4.217304861680822 4.217304861680822
1454	2.299322840945376 2.299322840945376
1455	1.7939049489928722 1.7939049489928722
1456	1.7390987685259478 1.7390987685259478
1457	1.8151536031920972 1.8151536031920972
1458	1.375902459336819 1.375902459336819
1459	2.0175034267479175 2.0175034267479175
1460	1.780265671100369 1.780265671100369
1461	2.7618148349621445 2.7618148349621445
1462	1.4315288777856077 1.4315288777856077
1463	1.5389858978608117 1.5389858978608117
1464	1.6388514653768875 1.6388514653768875
1465	2.3828396760831243 2.3828396760831243
1466	1.3698267380393787 1.3698267380393787
1467	1.2390680746358997 1.2390680746358997
1468	0.3054728368680336 0.3054728368680336
1469	1.225864856578814 1.225864856578814
1470	0.3367046274584122 0.3367046274584122
1471	1.5180341110365747 1.5180341110365747
1472	1.8790271927415734 1.8790271927415734
1473	0.7897998802151349 0.7897998802151349
1474	0.6806768040464198 0.6806768040464198
1475	1.3974319107384208 1.3974319107384208
1476	0.6277898889532757 0.6277898889532757
1477	1.5929595061952369 1.5929595061952369
1478	1.257051323426619 1.257051323426619
1479	0.9503078439417663 0.9503078439417663
1480	0.9281187824010505 0.9281187824010505
1481	0.4348448215178719 0.4348448215178719
1482	0.9954096378116115 0.9954096378116115
1483	0.8607170324359906 0.8607170324359906
1484	1.282491140831636 1.282491140831636
1485	0.28019269418351966 0.28019269418351966
1486	0.34254723985682933 0.34254723985682933
1487	2.1880996889063287 2.1880996889063287
1488	0.747591689586066 0.747591689586066
1489	0.7681045526035242 0.7681045526035242
1490	0.6401651562562637 0.6401651562562637
1491	1.2009430719020753 1.2009430719020753
1492	0.6367929535709663 0.6367929535709663
1493	0.6325197000442533 0.6325197000442533
1494	1.2200373027730866 1.2200373027730866
1495	2.0026037357098128 2.0026037357098128
1496	0.32026334293011516 0.32026334293011516
1497	0.44866957443738487 0.44866957443738487
1498	2.133242918007552 2.133242918007552
1499	1.892587737283761 1.892587737283761
