��������	��������� (��������� ���������)
155	11.343590744160364 20.771816589563187 17.40871013251678 0.0 0.0 1.0
156	11.071784983743022 20.800680085726405 17.462401781939544 0.0 0.0 1.0
157	11.32788970129148 20.903611143148982 17.479068277189548 1.0 0.0 0.0
158	11.225142683759366 20.870476912953915 17.38216844147786 1.0 0.0 0.0
159	11.26723381348762 20.936016287098525 17.808578681572957 1.0 0.0 0.0
160	11.149645055065736 20.952023516969188 17.896093075578918 1.0 0.0 0.0
161	11.303609095614558 20.95444042696804 17.831035405341876 1.0 0.0 0.0
162	11.257088440593341 20.763907481494492 17.80437529764142 1.0 0.0 0.0
163	11.205930285859658 21.175150601242915 17.824402390655695 1.0 0.0 0.0
164	11.049184741971565 21.09200861076993 17.65763560687578 1.0 0.0 0.0
165	11.236965181402855 21.12241566591675 17.797717868531983 1.0 0.0 0.0
166	11.224873825759133 21.117191336863645 17.67522863871241 1.0 0.0 0.0
167	11.185109976910978 21.129660591358814 17.70970994182842 1.0 0.0 0.0
168	11.272411831241953 21.44419322786703 17.910911756957407 1.0 0.0 0.0
169	11.41316778669481 21.404254333191368 17.851541740121267 1.0 0.0 0.0
170	11.339318861366383 21.32681036918444 17.71075738309866 1.0 0.0 0.0
171	11.313971441185137 21.54078479268792 17.883882790570663 1.0 1.0 0.0
172	11.186203913763963 21.40456358847861 17.648982267411533 1.0 1.0 0.0
173	11.356757868046527 21.651365927411728 17.750559419247285 1.0 1.0 0.0
174	11.283696190265045 21.5516959616854 17.982994468783158 1.0 1.0 0.0
175	11.43082656636814 21.723271259308998 18.108827562079977 1.0 1.0 0.0
176	11.555882454082727 21.788263438623492 18.212199331124474 1.0 1.0 0.0
177	11.504720407646465 21.631297954781733 18.139235484782798 0.0 1.0 0.0
178	11.601635122694864 21.77100383320755 18.217541132957717 1.0 1.0 0.0
179	11.354758706766797 21.849107116248295 18.119869012404806 1.0 1.0 0.0
180	11.401676966613522 21.883903542258736 18.094223096360423 1.0 1.0 0.0
181	11.478371738032836 21.78659973014083 18.045314455632308 1.0 1.0 0.0
182	11.230001905300036 21.888981585815472 18.156871350907053 1.0 1.0 0.0
183	11.368138286866364 21.975171394097387 18.236141771256985 1.0 1.0 0.0
184	11.32006519650925 21.95121826509879 18.26530189090403 1.0 1.0 0.0
185	11.292922779457074 21.97412542005981 18.210858061422332 1.0 1.0 0.0
186	11.216014118951295 21.91413080459131 18.289019337352748 1.0 1.0 1.0
187	11.125231121121328 21.97752173140408 18.15631509372008 1.0 1.0 1.0
188	11.232294442258219 22.03889662685429 18.26824025821456 1.0 1.0 1.0
189	11.152567692058316 22.12879728956004 18.34247846091343 1.0 1.0 1.0
190	11.25364479904235 22.053452261411895 18.42887528899725 1.0 1.0 1.0
191	11.112637466431517 22.160186062328464 18.203903479291508 1.0 1.0 1.0
192	11.208000476703976 22.176112032756368 18.658200297893575 1.0 1.0 1.0
193	11.196445856588408 22.207940818000463 18.598029649014933 1.0 1.0 1.0
194	11.258415859843147 22.27253068285015 18.699485581401728 1.0 1.0 1.0
195	11.282772344571532 22.36818901202181 18.477264279011102 1.0 1.0 1.0
196	11.116754023057293 22.282968527848297 18.672994350187192 1.0 1.0 1.0
197	11.08423980170399 22.352799744879867 18.71302975765437 1.0 1.0 1.0
198	11.184003310959868 22.421282073561862 18.609315283006353 1.0 1.0 1.0
199	10.901437579107082 22.516361419376963 18.76838937306272 1.0 1.0 1.0
200	10.790149839786745 22.467470651236656 18.782469440844345 1.0 1.0 1.0
201	10.94963709143247 22.575153728967795 18.874640105971086 1.0 1.0 1.0
202	10.949771224290144 22.793469619632788 18.863367886275956 1.0 1.0 1.0
203	11.064313332398651 22.806238018045004 18.935908950139382 1.0 1.0 1.0
204	10.93964829440198 22.678578751567827 18.89350971125026 1.0 1.0 1.0
205	10.918713223433297 22.91232457032339 19.061171837050495 1.0 1.0 0.0
206	10.985684098177098 22.86063534443482 19.027797449788107 1.0 1.0 0.0
207	11.035705830022549 23.011049574645213 19.088306874497768 1.0 1.0 0.0
208	10.969330691454497 23.022038623956185 19.15097543039265 1.0 1.0 0.0
209	10.918862555050357 23.302111079744925 19.067129761713428 1.0 1.0 0.0
210	10.900974760467069 23.277957212865218 19.34990137270441 1.0 0.0 0.0
211	10.911595152960428 23.285725848694256 19.541407514254843 1.0 0.0 0.0
212	10.958119782862898 23.575931088773157 19.68591934060955 1.0 0.0 0.0
213	10.905773936262888 23.37957308818804 19.675845833267847 1.0 0.0 0.0
214	11.001450004480445 24.0534483827667 19.6132434603639 1.0 0.0 0.0
215	11.071709925442297 24.232524322878486 19.41663315783627 1.0 0.0 0.0
216	11.027509748605517 24.06144689059432 19.667198330913585 0.0 0.0 0.0
217	10.744826213294218 23.896233629599646 19.683285882137238 0.0 0.0 0.0
218	10.805757371956481 24.192943932481967 19.611510371232164 0.0 0.0 0.0
219	10.436808199501105 24.388359384969707 20.09909707549399 1.0 0.0 0.0
220	10.75813499875413 24.35045903622457 20.22039265398397 1.0 0.0 0.0
221	11.14872216434299 24.7993482748032 19.926580830377453 1.0 0.0 0.0
222	11.65286108339583 24.8724372189394 20.233408132884964 1.0 0.0 0.0
223	11.448473235806343 24.671886495044074 20.42874011469226 1.0 0.0 0.0
224	10.799749125433676 24.508481390867274 20.726664364227013 1.0 0.0 0.0
225	10.37971177466693 24.57147561299153 21.13327059806978 0.0 0.0 0.0
226	10.957970227417427 24.391392190200065 20.699189957645874 0.0 0.0 0.0
227	10.6528122333264 24.78010610529475 21.314144696363076 0.0 0.0 0.0
228	11.324368675369518 24.45527723856288 22.34569475033549 0.0 0.0 1.0
229	10.933445502743304 24.574713613752415 22.076699821351692 0.0 0.0 1.0
230	10.966225093440759 25.418255621347484 22.436451617239054 0.0 0.0 1.0
231	11.302982099495063 24.871416820444203 22.6535197796491 0.0 0.0 1.0
232	10.3637323145137 25.34410483366233 22.354693120031765 0.0 0.0 0.0
233	10.160941442172632 25.10172969214855 22.47507618579777 0.0 0.0 1.0
234	10.994743414538037 24.91219983784528 22.2817535685183 0.0 0.0 1.0
235	11.192339680776826 25.56793419952075 22.62245285023231 0.0 0.0 1.0
236	11.538261487426125 25.5667226639394 22.322257393626995 0.0 0.0 1.0
237	11.263212586273475 25.31545468618815 23.205329296859613 0.0 0.0 1.0
238	11.199781277241422 25.217658931552563 23.409651368834126 0.0 0.0 1.0
239	10.590813153795413 25.48266570063968 23.461282852097753 0.0 0.0 1.0
240	10.761087991038398 25.515800549276836 23.244465635249814 0.0 0.0 1.0
241	10.764833679772986 25.56325463434328 23.63405586357285 0.0 0.0 1.0
242	10.732865666956984 25.48419163615169 23.038716693077898 0.0 0.0 1.0
243	10.808127400934145 25.62074027365581 23.89381006290293 0.0 0.0 1.0
244	10.634167220532142 25.406265097194673 23.775785916028227 1.0 0.0 1.0
245	10.679603507070302 25.361221788897023 23.591877610839656 0.0 0.0 0.0
246	11.14670283045541 25.313586011715028 23.815866101448012 0.0 0.0 1.0
247	10.36633785776735 25.379231321319008 23.830776899570246 0.0 0.0 1.0
248	11.100795613546529 25.659488102088527 23.975539900822515 0.0 0.0 1.0
249	11.077236513100422 25.6117152227784 24.107078021640067 0.0 1.0 1.0
250	11.342142952334953 25.16105822076394 24.257295341661322 1.0 1.0 1.0
251	10.58520270663632 25.191568524715827 23.61307530777686 0.0 1.0 1.0
252	11.525972195083249 25.483594435544155 23.970880105195775 0.0 1.0 1.0
253	10.979035583181528 25.337345506909696 23.931945696030947 0.0 1.0 0.0
254	11.392454183432722 25.676648521424887 24.06861236629342 0.0 1.0 1.0
255	10.946862960073043 25.575178837367478 24.173380549116274 0.0 1.0 0.0
256	10.730090455158882 25.494565025849614 24.300977292741276 0.0 1.0 0.0
257	10.649580677990562 25.671142220360174 24.591838124715103 0.0 1.0 0.0
258	10.689408708797739 25.431582912844487 24.723658779946113 0.0 1.0 0.0
259	10.821992461423594 25.83599176744064 25.05328194763544 0.0 1.0 0.0
260	10.665073650218604 25.568630738658932 25.242133562157232 0.0 1.0 0.0
261	10.541843881646379 25.6024413152369 25.08737546194102 0.0 1.0 0.0
262	10.931724923250734 25.851214930068164 25.09105380613905 0.0 0.0 0.0
263	10.649115496736783 25.840393211815154 24.78780319090545 0.0 0.0 0.0
264	10.966748482993587 25.54392660845403 25.74936563620364 0.0 0.0 0.0
265	10.92287125891419 25.528498558206355 26.126196325384107 0.0 0.0 0.0
266	11.098520502540804 25.17970475597922 26.1524932513456 0.0 0.0 0.0
267	10.872977058909115 25.860008694925984 26.389610587370697 0.0 0.0 0.0
268	11.216195502758206 26.021948392921004 26.149621169006235 0.0 1.0 0.0
269	11.015947789519316 26.130785011314693 26.233303159365793 0.0 0.0 0.0
270	10.987752054765828 26.14124871907007 26.49326857199764 0.0 1.0 0.0
271	10.64170802719001 25.86567716323122 26.195322818712157 0.0 1.0 0.0
272	11.111903932899546 26.137463979819884 26.032012839037293 1.0 1.0 0.0
273	10.772867285699704 26.102239330530146 26.498439303953663 0.0 0.0 1.0
274	10.848671218112486 26.198266628995697 26.29903254083285 0.0 0.0 1.0
275	10.508490816659942 26.191157559679628 26.587685937003876 0.0 0.0 1.0
276	10.737877744086909 26.08012124697379 26.540173628335467 0.0 0.0 1.0
277	10.463732215700968 26.45425890042972 26.28279740217597 0.0 0.0 1.0
278	10.087148113630896 26.52290049345339 26.27775050129305 0.0 0.0 1.0
279	10.286251848362543 26.6097882862407 26.264615205238183 0.0 0.0 1.0
280	10.146685852676775 26.83926805983835 26.366716403889512 0.0 0.0 1.0
281	10.600219952074143 27.627622847646244 26.840039079113946 0.0 0.0 1.0
282	10.797945874503498 27.713795254695388 27.260567157231986 0.0 0.0 1.0
283	10.999216744927633 28.17103635605499 26.882229643314297 0.0 0.0 1.0
284	10.639585637255479 28.729468505577344 27.251150298950108 0.0 0.0 1.0
285	12.052394409156632 28.725433203471937 27.20934195874968 0.0 0.0 0.0
286	10.520710319399262 29.003097287726888 27.491435235901104 0.0 0.0 1.0
287	10.861530755752039 28.86287567989111 26.64000325542188 0.0 0.0 1.0
288	9.899579653646114 28.784825977444324 27.259081287453547 0.0 1.0 0.0
