Итерация	Значение_функции
444	1174801426748.0518
445	1183490685629.8591
446	1190155989184.2637
447	1150246716087.4084
448	1139482838929.774
449	1118628472680.8796
450	1089583572703.1328
451	1171080940416.0295
452	1056615724178.8915
453	1055113212451.1696
454	967394077070.4974
455	1085593512098.5599
456	887095484517.6761
457	958046804967.9232
458	873838112418.2462
459	857418853625.5101
460	890525823446.3895
461	883743056550.8726
462	816553594782.9814
463	748874325992.0273
464	704875912408.7574
465	721696996429.6509
466	673030645980.3931
467	694232284110.0137
468	679886895664.6252
469	651647465112.079
470	649770428368.1715
471	729790912195.817
472	738089239514.8999
473	624553154608.7013
474	667227972354.6476
475	574569819229.6257
476	614324972054.9403
477	591900758707.4458
478	587137558138.2761
479	580371434616.8221
480	570511650584.1975
481	514882522327.21375
482	458647637317.57605
483	484031934502.9818
484	477216271617.99036
485	429734303420.3216
486	472390818390.77625
487	404381358782.78076
488	409786772240.0521
489	435046230284.914
490	404243666885.50665
491	431461874867.32184
492	411282236843.5128
493	420529682647.2732
494	403404747751.60455
495	412103335371.8526
496	404798466284.49646
497	403864243046.3101
498	391097120942.83997
499	393546135591.8951
500	397767192877.9828
501	383061194788.8487
502	379235620716.2507
503	383352563902.0128
504	376635108391.5593
505	340112207579.5173
506	340681027547.70654
507	338056681283.8373
508	346416321933.69965
509	325719659280.87286
510	329402809701.1157
511	326530534047.73627
512	326855553017.72437
513	326667038681.7387
514	329869904192.3799
515	324073062073.5355
516	327203883341.6136
517	321117615066.8993
518	319225991964.49725
519	328495753132.3715
520	309967415250.3502
521	325868493234.8972
522	299761452637.9109
523	308500806211.116
524	303884388674.0034
525	305629077294.90607
526	295400438390.9223
527	300318285852.864
528	298788544253.06757
529	295166890985.8124
530	295138399345.1214
531	294209090985.33124
532	297272443303.41956
533	298113484659.64124
534	291326326867.98083
535	296142359040.05676
536	299929338061.11237
537	288527442111.665
538	286465463409.55914
539	280433556652.0238
540	277946581027.5824
541	280046806018.89435
542	276481683143.44214
543	280099548340.7751
544	279241438513.9861
545	276341876286.1829
546	273244562528.9311
547	280217859913.9202
548	273626470548.80136
549	277183171229.394
550	272154563179.07257
551	267542381761.78015
552	276889721507.033
553	260969957519.75192
554	262960697289.1523
555	255058325740.85815
556	255271880912.45676
557	253742432293.88898
558	252003205228.04736
559	248170988588.89658
560	245668732017.11557
561	254066705426.00592
562	256724408333.56287
563	248970016494.55853
564	252093754791.32248
565	245204489409.08325
566	247907710058.04025
567	247219217375.39334
568	247151988332.7869
569	244136223164.14136
570	239858594131.36557
571	235343281274.98248
572	242285403348.31522
573	239508173622.0402
574	235553685814.27505
575	235399624207.26767
576	231367097852.11035
577	230287427697.10468
578	233193294567.41266
579	230083842474.66815
580	231867529437.2218
581	228196404705.14194
582	231368591158.88608
583	225365854003.46933
584	227550839770.54337
585	221222227293.69186
586	218841717842.18732
587	223650341547.33038
588	216839965396.13742
589	223670735330.4573
590	218158746764.9483
591	217521723493.51077
592	216803084701.42615
593	212364188057.0985
594	216416497483.3988
595	211712151888.9421
596	217267816024.73645
597	210143846972.784
598	205327902067.38718
599	203741525265.05396
600	196634847515.39835
601	200521151162.34802
602	196830182826.15744
603	191045312876.5961
604	185570570778.9964
605	188495770603.09048
606	185533275514.3344
607	185274706860.56256
608	180497036751.26373
609	179501354783.34225
610	184744911802.86188
611	179275163988.3808
612	175803100179.17657
613	176233132795.0556
614	177935140411.7433
615	168615828606.76917
616	164323590131.63727
617	172191393282.94333
618	162001577744.9626
619	164283063151.95483
620	163166926508.72247
621	163203961645.64597
622	163700865063.88367
623	157342580368.5431
624	158462594572.82434
625	156961480143.98126
626	156755931355.56415
627	151748959691.21985
628	152866176462.51318
629	156327097129.21573
630	155042157867.411
631	150786006737.868
632	147054887524.64062
633	146903104062.61398
634	146234772995.5548
635	149001966244.59253
636	148950329138.15674
637	145315111715.25882
638	145505010322.76956
639	142453458783.18347
640	145591253247.41678
641	143206208896.1121
642	141302484601.90305
643	138336830613.59973
644	136485966518.63087
645	142392022588.5027
646	138165358540.5147
647	131529921269.38159
648	137852621216.65488
649	129187419281.94197
650	131642991975.12262
651	134673952409.99983
652	130201934124.84233
653	128674905756.9254
654	126680384377.99245
655	128622634237.69
656	124161282331.19804
657	121404036090.86572
658	123453425732.83702
659	121017502457.8981
660	123043055188.96822
661	121380230261.57037
662	117475706638.47722
663	116455134441.00505
664	118934475185.53247
665	115660630190.38846
666	118698424938.69283
667	120644222532.03241
668	118880107132.08545
669	115640907276.67393
670	114653954177.98895
671	111535785689.2557
672	110286859204.8933
673	106256254613.54163
674	113380416511.28784
675	104743555985.41508
676	105059026621.33925
677	105317122516.1285
678	107044796824.56412
679	103279999830.5724
680	104091819956.7737
681	102396626830.11322
682	103748581849.60999
683	103298181938.41043
684	101060284739.45392
685	99611583890.58128
686	100337301165.56937
687	100920471638.1126
688	98109245882.8818
689	98395658950.66086
690	98307423959.11983
691	95008674577.28967
692	97303637648.4056
693	96527262292.82596
694	94534230870.59833
695	93521550275.00246
696	93644736273.48558
697	92065956620.59676
698	91105857337.25807
699	90820368725.24419
700	88054001527.45793
701	83639857244.01538
702	82323028748.23462
703	83555294277.31046
704	81316283971.29613
705	81307455947.09561
706	85546585709.26979
707	81943228874.2083
708	80776113198.24995
709	83242285153.65038
710	80795222165.47736
711	78635263923.90295
712	79284696037.94226
713	77240883015.93066
714	77670789666.00983
715	74396215494.26085
716	74767851423.82263
717	76850076997.19148
718	74704365461.30469
719	73887589052.38464
720	76458612848.6064
721	73360836863.33914
722	73755263658.66594
723	72497805040.76146
724	71591863725.1621
725	70379871277.07744
726	68575613484.71859
727	69310630691.56902
728	69242018873.28624
729	68658606935.29001
730	70215952081.1227
731	68299062471.59392
732	67438899083.91186
733	66003382943.72043
734	63460502698.60048
735	61628291966.77779
736	63715787653.28421
737	64645983626.155815
738	61205153480.44235
739	60386942872.89504
740	61872394934.51788
741	60322505244.09602
742	63445117745.910385
743	61311882442.762
744	59827220315.68798
745	61456817962.48169
746	60183365209.012566
747	58835154170.416306
748	58033577432.4298
749	57906793471.738976
750	59738774559.864204
751	58135114626.48153
752	58248743160.39894
753	57725123770.60321
754	58505547624.61344
755	58777632717.9906
756	57330142202.69324
757	56819262248.334625
758	56333447990.1942
759	58081871473.58855
760	55016305989.384476
761	55686690582.4352
762	53737132157.49871
763	54846738083.77933
764	54323623773.43481
765	53478219915.28399
766	53387302065.54563
767	52478862831.0171
768	52504310919.69708
769	53386222503.92494
770	52147413092.49173
771	51858333477.17265
772	52619924974.72306
773	51332408045.37704
774	49951842487.38945
775	49338221272.11374
776	49133942664.36603
777	48899810088.406715
778	50063004417.94851
779	50845049957.58654
780	47864414220.53574
781	46809074459.01071
782	47836551959.92197
783	42695929197.43987
784	42692697369.02863
785	44929460621.04291
786	42070058985.778786
787	41118251724.5688
788	41925432818.899994
789	41652279204.39195
790	39461382568.39972
791	39297155923.91506
792	40142778934.31662
793	40716701337.63463
794	41906371295.359795
